DISCO,0
QVI/2,0
AVTEM,0
IN,0
NORDANHYMBRI/N,0
PROVINCIA,0
EX,0
QVI/1,0
TEMPVS/1,0
FIDES/2,0
CHRISTVS/N,0
PERCIPIO,0
VSQVE,0
AD/2,0
PRAESENS,0
PER,0
DIVERSVS,0
REGIO,0
IN,0
ECCLESIA,0
SVM/1,0
AGO,0
NON,0
VNVS,0
QVOLIBET,0
AVCTOR,0
SED,0
FIDELIS/2,0
INNVMERVS,0
TESTIS/1,0
QVI/1,0
HIC/1,0
SCIO,0
VEL/1,0
MEMINI,0
POSSVM/1,0
ASSERTIO,0
COGNOSCO,0
EXCIPIO,0
HIC/1,0
QVI/1,0
PER,0
EGO,0
IPSE,0
NOSCO,0
POSSVM/1,0
INTER,0
QVI/1,0
NOTO,0
QVI/1,0
IS,0
QVI/1,0
DE,0
SANCIO,0
PATER,0
ET/2,0
ANTISTES,0
CVTHBERT/N1,0
VEL/1,0
IN,0
HIC/1,0
VOLVMEN,0
VEL/1,0
IN,0
LIBELLVS,0
GESTA,0
IPSE,0
CONSCRIBO,0
PARS,0
EX,0
IS,0
QVI/1,0
DE,0
ILLE,0
PRIOR,0
AB,0
FRATER,0
ECCLESIA,0
LINDISFARNENSIS/A,0
SCRIBO,0
REPERIO,0
ASSVMO,0
SIMPLEX,0
FIDES/2,0
HISTORIA,0
QVI/1,0
LEGO/2,0
ACCOMMODO,0
PARS,0
VERVS,0
IS,0
QVI/1,0
CERTVS,0
FIDELIS/2,0
VIR,0
ATTESTATIO,0
PER,0
EGO,0
IPSE,0
COGNOSCO,0
POSSVM/1,0
SOLLERS,0
ADICIO,0
CVRO,0
LECTOR,0
SVPPLEX/2,0
OBSECRO,0
VT/4,0
SIQVIS,0
IN,0
HIC/1,0
QVI/1,0
SCRIBO,0
ALITER,0
QVAM/1,0
SVI/1,0
VERITAS,0
HABEO,0
PONO,0
REPERIO,0
NON,0
HIC/1,0
NOS,0
IMPVTO,0
QVI/1,0
QVI/1,0
VERVS,0
LEX,0
HISTORIA,0
SVM/1,0
SIMPLEX,0
IS,0
QVI/1,0
FAMA,0
VVLGO/1,0
COLLIGO/3,0
AD/2,0
INSTRVCTIO,0
POSTERITAS,0
LITTERA,0
MANDO/2,0
STVDEO,0
PRAETEREA,0
OMNIS,0
AD/2,0
QVI/1,0
HIC/1,0
IDEM,0
HISTORIA,0
PERVENIO,0
POSSVM/1,0
NOSTER,0
NATIO/1,0
LEGO/2,0
SIVE/1,0
AVDIO,0
SVPPLEX/2,0
PRECOR,0
VT/4,0
PRO/1,0
MEVS,0
INFIRMITAS,0
ET/2,0
MENS,0
ET/2,0
CORPVS,0
APVD,0
SVPERNVS,0
CLEMENTIA,0
SAEPE,0
INTERVENIO,0
MEMINI,0
ET/2,0
IN,0
SVVS,0
QVISQVE/2,0
PROVINCIA,0
HIC/1,0
EGO,0
SVVS,0
REMVNERATIO,0
VICIS,0
REPENDO,0
VT/4,0
QVI/1,0
DE,0
SINGVLVS,0
PROVINCIA,0
SIVE/1,0
LOCVS,0
SVBLIMIS,0
QVI/1,0
MEMORO,0
DIGNVS,0
AC/1,0
INCOLA,0
GRATVS,0
CREDO,0
DILIGENS,0
ANNOTO,0
CVRO,0
APVD,0
OMNIS,0
FRVCTVS,0
PIVS,0
INTERCESSIO,0
INVENIO,0
BRITANNIA/N,1_1
OCEANVS/1,1_1
INSVLA,1_1
QVI/1,1_1
QVONDAM,1_1
ALBION/N,1_1
NOMEN,1_1
SVM/1,1_1
INTER,1_1
SEPTENTRIO,1_1
ET/2,1_1
OCCIDENS,1_1
LOCO,1_1
SVM/1,1_1
GERMANIA/N,1_1
GALLIA/N,1_1
HISPANIA/N,1_1
MAXIMVS,1_1
EVROPA/N,1_1
PARS,1_1
MVLTVS,1_1
INTERVALLVM,1_1
ADVERSVS/2,1_1
QVI/1,1_1
PER,1_1
MILLEPASSVS,1_1
OCTINGENTI,1_1
IN,1_1
BOREAS,1_1
LONGVS,1_1
LATITVDO,1_1
HABEO,1_1
MILLE/2,1_1
DVCENTI,1_1
EXCIPIO,1_1
DVMTAXAT,1_1
PROLIXVS,1_1
DIVERSVS,1_1
PROMONTORIVM,1_1
TRACTVS,1_1
QVI/1,1_1
EFFICIO,1_1
VT/4,1_1
CIRCVITVS,1_1
IS,1_1
QVADRAGIES,1_1
OCTIES,1_1
SEPTVAGINTA,1_1
QVINQVE,1_1
MILLE/2,1_1
COMPLEO,1_1
HABEO,1_1
AB,1_1
MERIDIES,1_1
GALLIA/N,1_1
BELGIVM/N,1_1
QVI/1,1_1
PROXIMVS,1_1
LITVS,1_1
TRANSMEO,1_1
APERIO,1_1
CIVITAS,1_1
QVI/1,1_1
DICO/2,1_1
RVTVBI PORTVS/N,1_1
PORTVS,1_1
AB,1_1
GENS,1_1
ANGLI/N,1_1
NVNC,1_1
CORRVMPO,1_1
REPTACAESTIR/N,1_1
VOCO,1_1
INTERPONO,1_1
MARE,1_1
AB,1_1
GESORIACVM/N,1_1
MORINI/N,1_1
GENS,1_1
LITVS,1_1
PROXIMVS,1_1
TRAICIO,1_1
MILLE,1_1
QVINQVAGINTA,1_1
SIVE/1,1_1
VT/4,1_1
QVIDAM,1_1
SCRIBO,1_1
STADIVM,1_1
QVADRINGENTI,1_1
QVINQVAGINTA,1_1
AB,1_1
TERGVM,1_1
AVTEM,1_1
VNDE/1,1_1
OCEANVS/1,1_1
INFINITVS,1_1
PATEO,1_1
ORCADES/N,1_1
INSVLA,1_1
HABEO,1_1
OPIMVS,1_1
FRVX,1_1
AC/1,1_1
ARBOR,1_1
INSVLA,1_1
ET/2,1_1
ALO,1_1
APTVS,1_1
PECVS/1,1_1
AC/1,1_1
IVMENTVM,1_1
VINEA,1_1
ETIAM,1_1
QVIDAM,1_1
IN,1_1
LOCVS,1_1
GERMINO,1_1
SED,1_1
ET/2,1_1
AVIS,1_1
FERAX,1_1
TERRA,1_1
MARE,1_1
GENVS/1,1_1
DIVERSVS,1_1
FLVVIVS,1_1
QVOQVE,1_1
MVLTVM/2,1_1
PISCOSVS,1_1
AC/1,1_1
FONS,1_1
PRAECLARVS,1_1
COPIOSVS,1_1
ET/2,1_1
QVIDEM,1_1
PRAECIPVE,1_1
ESICIVS,1_1
ABVNDO,1_1
ET/2,1_1
ANGVILLA,1_1
CAPIO/2,1_1
AVTEM,1_1
SAEPE,1_1
ET/2,1_1
VITVLVS,1_1
MARINVS,1_1
ET/2,1_1
DELPHIN,1_1
NEQVE,1_1
NON,1_1
ET/2,1_1
BALAENA,1_1
EXCIPIO,1_1
VARIVS,1_1
GENVS/1,1_1
CONCHYLIVM,1_1
IN,1_1
QVI/1,1_1
SVM/1,1_1
ET/2,1_1
MVSCVLVS/2,1_1
QVI/1,1_1
INCLVDO,1_1
SAEPE,1_1
MARGARITA,1_1
OMNIS,1_1
QVIDEM,1_1
COLOR,1_1
BONVS,1_1
INVENIO,1_1
IS,1_1
SVM/1,1_1
ET/2,1_1
RVBICVNDVS,1_1
ET/2,1_1
PVRPVREVS,1_1
ET/2,1_1
HYACINTHINVS,1_1
ET/2,1_1
PRASINVS,1_1
SED,1_1
MAXIME,1_1
CANDIDVS,1_1
SVM/1,1_1
ET/2,1_1
COCHLEA,1_1
SATIS/2,1_1
SVPER/2,1_1
ABVNDO,1_1
QVI/1,1_1
TINGO,1_1
COCCINVS,1_1
COLOR,1_1
CONFICIO,1_1
QVI/1,1_1
RVBOR,1_1
PVLCHER,1_1
NVLLVS,1_1
VMQVAM,1_1
SOL,1_1
ARDOR,1_1
NVLLVS,1_1
VALEO,1_1
PLVVIA,1_1
INIVRIA,1_1
PALLESCO,1_1
SED,1_1
QVI/1,1_1
VETVSTVS,1_1
IS,1_1
SOLEO,1_1
SVM/1,1_1
VENVSTVS,1_1
HABEO,1_1
FONS,1_1
SALINAE,1_1
HABEO,1_1
ET/2,1_1
FONS,1_1
CALIDVS,1_1
ET/2,1_1
EX,1_1
IS,1_1
FLVVIVS,1_1
BALNEARIVS,1_1
CALIDVS,1_1
OMNIS,1_1
