,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,Topic11,,,Topic12,,,Topic13,,,Topic14,,,Topic15,,,Topic16,,,Topic17,,,Topic18,,,Topic19,,,Topic20,
dvo,4,0.6299212598425197,dominicvs,4,0.6309148264984227,ago,3,0.5692599620493358,defvngor,3,0.5405405405405406,valeo,3,0.4975124378109453,adhvc,3,0.528169014084507,dominicvs,4,0.6329113924050633,disco,3,0.5263157894736842,antistes,3,0.49504950495049505,advenio,3,0.576923076923077,cavsa,4,0.6024096385542169,reverto,3,0.5076142131979695,vocabvlvm,3,0.4658385093167702,servio,3,0.5725190839694656,relinqvo,3,0.5976095617529881,prior,3,0.4878048780487805,papa,3,0.4243281471004243,dico/2,4,0.6722689075630253,aer,4,0.6134969325153374,qvaestio,4,0.5555555555555556
dominvs,4,0.6299212598425197,rex,3,0.47318611987381703,nvllvs,3,0.5692599620493358,devotio,3,0.5405405405405406,intro/1,3,0.4975124378109453,dies,3,0.528169014084507,sermo,4,0.6329113924050633,video,3,0.5263157894736842,certvs,3,0.49504950495049505,accipio,3,0.576923076923077,filivs,4,0.6024096385542169,frater,3,0.5076142131979695,assvm/1,3,0.4658385093167702,sperno,3,0.5725190839694656,caelestis,3,0.5976095617529881,bonvs,3,0.4878048780487805,postea,3,0.4243281471004243,sacerdos,4,0.6722689075630253,sex,4,0.6134969325153374,adhvc,4,0.5555555555555556
baptizo,4,0.6299212598425197,solvs,3,0.47318611987381703,adhvc,3,0.5692599620493358,saecvlvm,3,0.5405405405405406,ergo/2,3,0.4975124378109453,accipio,3,0.528169014084507,apostolvs,4,0.6329113924050633,venio,3,0.5263157894736842,svpernvs,3,0.49504950495049505,servo,3,0.576923076923077,virgo,4,0.6024096385542169,ardeo,3,0.5076142131979695,annvs,3,0.4658385093167702,convenio,3,0.5725190839694656,seqvor,3,0.5976095617529881,salvs,3,0.4878048780487805,nordanhymbri/n,3,0.4243281471004243,veritas,4,0.6722689075630253,sermo,4,0.6134969325153374,incipio,4,0.5555555555555556
postqvam,4,0.6299212598425197,sanctvs,3,0.47318611987381703,lingva,3,0.5692599620493358,homo,3,0.5405405405405406,habito,3,0.4975124378109453,dono,3,0.528169014084507,ocvlvs,4,0.6329113924050633,vsqve,3,0.5263157894736842,vnde/1,3,0.49504950495049505,dvx,3,0.576923076923077,femina,4,0.6024096385542169,ergo/2,3,0.5076142131979695,defvngor,3,0.4658385093167702,saecvlvm,3,0.5725190839694656,pavlinvs/n1,3,0.5976095617529881,affero,3,0.4878048780487805,mercii/n,3,0.4243281471004243,ivxta/1,4,0.6722689075630253,seqvor,4,0.6134969325153374,vivo,4,0.5555555555555556
transeo/1,4,0.6299212598425197,scribo,3,0.47318611987381703,volo/3,3,0.5692599620493358,vaco,3,0.5405405405405406,doctrina,3,0.4975124378109453,respondeo,3,0.528169014084507,perficio,4,0.6329113924050633,opvs/1,3,0.5263157894736842,recipio,3,0.49504950495049505,propter/2,3,0.576923076923077,faveo,4,0.6024096385542169,servo,3,0.5076142131979695,potestas,3,0.4658385093167702,seqvor,3,0.5725190839694656,colo/2,3,0.5976095617529881,gratia,3,0.4878048780487805,saepe,3,0.4243281471004243,ergo/2,4,0.6722689075630253,svscipio,4,0.6134969325153374,consvetvdo,4,0.5555555555555556
appareo,4,0.6299212598425197,ibi,3,0.47318611987381703,vivo,3,0.5692599620493358,libero,3,0.5405405405405406,praedico/2,3,0.4975124378109453,dominvs,3,0.528169014084507,regno,4,0.6329113924050633,certvs,3,0.5263157894736842,intro/1,3,0.49504950495049505,praedico/3,3,0.576923076923077,exigo,4,0.6024096385542169,egredior,3,0.5076142131979695,mors,3,0.4658385093167702,narro,3,0.5725190839694656,qvod/1,3,0.5976095617529881,deniqve,3,0.4878048780487805,locvs,3,0.4243281471004243,volo/3,4,0.6722689075630253,malignvs,4,0.6134969325153374,regnvm,4,0.5555555555555556
desidero,3,0.47244094488188976,antistes,3,0.47318611987381703,aeternvs,3,0.5692599620493358,celebro,3,0.5405405405405406,dilectio,3,0.4975124378109453,praedico/3,3,0.528169014084507,avdio,3,0.4746835443037975,civitas,3,0.5263157894736842,gradvs,3,0.49504950495049505,animvs,3,0.576923076923077,limen,4,0.6024096385542169,ibidem,3,0.5076142131979695,labor/1,3,0.4658385093167702,appareo,3,0.5725190839694656,qvaero,3,0.5976095617529881,frater,3,0.4878048780487805,britannia/n,3,0.4243281471004243,pavper,4,0.6722689075630253,pivs,3,0.4601226993865031,possessio,4,0.5555555555555556
tvvs,3,0.47244094488188976,certvs,3,0.47318611987381703,ibidem,3,0.5692599620493358,minister/1,3,0.5405405405405406,confero,3,0.4975124378109453,misericordia,3,0.528169014084507,nosco,3,0.4746835443037975,pvlcher,3,0.5263157894736842,annvs,3,0.49504950495049505,caelestis,3,0.576923076923077,christvs/n,3,0.4518072289156626,domvs,3,0.5076142131979695,semper,3,0.4658385093167702,nvper,2,0.38167938931297707,cetervs,2,0.398406374501992,sancio,3,0.4878048780487805,flvvivs,3,0.4243281471004243,avdio,3,0.5042016806722689,ibi,3,0.4601226993865031,praefero,4,0.5555555555555556
cvro,3,0.47244094488188976,litvs,3,0.47318611987381703,morior,3,0.5692599620493358,appareo,3,0.5405405405405406,annvs,3,0.4975124378109453,baptizo,3,0.528169014084507,papa,3,0.4746835443037975,modvs,3,0.5263157894736842,mors,3,0.49504950495049505,devotio,3,0.576923076923077,ecclesia,3,0.4518072289156626,hvc,3,0.5076142131979695,siqvidem,3,0.4658385093167702,nvnc,2,0.38167938931297707,disco,2,0.398406374501992,mare,3,0.4878048780487805,finis,3,0.4243281471004243,nosco,3,0.5042016806722689,invenio,3,0.4601226993865031,nihil,4,0.5555555555555556
revereor,3,0.47244094488188976,fons,3,0.47318611987381703,baptizo,3,0.5692599620493358,nvmqvam,3,0.5405405405405406,seqvor,3,0.4975124378109453,dvm/2,3,0.528169014084507,gratia,3,0.4746835443037975,sicvt/1,3,0.5263157894736842,conversatio,3,0.49504950495049505,svscipio,3,0.576923076923077,regio,3,0.4518072289156626,miracvlvm,3,0.5076142131979695,filivs,3,0.4658385093167702,simvl/1,2,0.38167938931297707,videlicet,2,0.398406374501992,qvidam,3,0.4878048780487805,magnvs,3,0.4243281471004243,avditor,3,0.5042016806722689,ministerivm,3,0.4601226993865031,observo,4,0.5555555555555556
ago,3,0.47244094488188976,aer,3,0.47318611987381703,converto,3,0.5692599620493358,abeo/1,3,0.5405405405405406,ostendo,3,0.4975124378109453,semper,3,0.528169014084507,episcopvs,3,0.4746835443037975,facio,3,0.5263157894736842,exemplvm,3,0.49504950495049505,statim,3,0.576923076923077,praesens,3,0.4518072289156626,cogito,3,0.5076142131979695,constrvo,3,0.4658385093167702,salvs,2,0.38167938931297707,venio,2,0.398406374501992,deprecor,3,0.4878048780487805,res,3,0.4243281471004243,memoro,3,0.5042016806722689,habeo,3,0.4601226993865031,observatio,4,0.5555555555555556
certvs,3,0.47244094488188976,qvia,3,0.47318611987381703,doctor,3,0.5692599620493358,presbyterivm,3,0.5405405405405406,loqvor,3,0.4975124378109453,exemplvm,3,0.528169014084507,veritas,3,0.4746835443037975,religio,3,0.5263157894736842,ivvenis/2,3,0.49504950495049505,somnvs,3,0.576923076923077,ministerivm,3,0.4518072289156626,conversatio,3,0.5076142131979695,ivdicivm,3,0.4658385093167702,ecclesia,2,0.38167938931297707,praefor,2,0.398406374501992,cvnctvs,3,0.4878048780487805,dvx,3,0.4243281471004243,rego,3,0.5042016806722689,pono,3,0.4601226993865031,gens,3,0.4166666666666667
credo,3,0.47244094488188976,qvaestio,3,0.47318611987381703,gradvs,3,0.5692599620493358,veneror,3,0.5405405405405406,dispono,3,0.4975124378109453,anima,3,0.528169014084507,mevs,3,0.4746835443037975,profero,3,0.5263157894736842,soror,3,0.49504950495049505,gloriosvs,2,0.38461538461538464,obsecro,3,0.4518072289156626,hostis,3,0.5076142131979695,perficio,3,0.4658385093167702,video,2,0.38167938931297707,fides/2,2,0.398406374501992,dvm/2,3,0.4878048780487805,imperivm,3,0.4243281471004243,cvro,3,0.5042016806722689,redeo/1,3,0.4601226993865031,sanctvs,3,0.4166666666666667
aetas,3,0.47244094488188976,advenio,3,0.47318611987381703,confero,3,0.5692599620493358,gloriosvs,2,0.36036036036036034,aio,3,0.4975124378109453,benedictio,3,0.528169014084507,mens,3,0.4746835443037975,dvco,3,0.5263157894736842,cesso,3,0.49504950495049505,gens,2,0.38461538461538464,habeo,3,0.4518072289156626,ecce,3,0.5076142131979695,vicvs,3,0.4658385093167702,vox,2,0.38167938931297707,olim,2,0.398406374501992,oro,3,0.4878048780487805,familia,3,0.4243281471004243,revereor,3,0.5042016806722689,coepio,3,0.4601226993865031,cognosco,3,0.4166666666666667
recipio,3,0.47244094488188976,longe,3,0.47318611987381703,transfero,3,0.5692599620493358,presbyter,2,0.36036036036036034,edwin/n2,3,0.4975124378109453,svfficio,3,0.528169014084507,advenio,3,0.4746835443037975,svpra/2,3,0.5263157894736842,nvnc,2,0.33003300330033003,nvnc,2,0.38461538461538464,infirmitas,3,0.4518072289156626,alter,3,0.5076142131979695,sanitas,3,0.4658385093167702,consilivm,2,0.38167938931297707,certvs,2,0.398406374501992,debeo,3,0.4878048780487805,mos,3,0.4243281471004243,memoria,3,0.5042016806722689,procedo/1,3,0.4601226993865031,roma/n,3,0.4166666666666667
primvs,3,0.47244094488188976,plaga/2,3,0.47318611987381703,qvomodo/1,3,0.5692599620493358,nvper,2,0.36036036036036034,pavlinvs/n1,3,0.4975124378109453,qvaero,3,0.528169014084507,sedes,3,0.4746835443037975,creber,3,0.5263157894736842,sedvlvs,2,0.33003300330033003,verbvm,2,0.38461538461538464,voco,3,0.4518072289156626,cogitatio,3,0.5076142131979695,necesse,3,0.4658385093167702,vsqve,2,0.38167938931297707,veritas,2,0.398406374501992,lvx,3,0.4878048780487805,doctrina,3,0.4243281471004243,diligens,3,0.5042016806722689,mitto,3,0.4601226993865031,pater,3,0.4166666666666667
dono,3,0.47244094488188976,lingva,3,0.47318611987381703,etenim,3,0.5692599620493358,vervs,2,0.36036036036036034,regno,3,0.4975124378109453,ascendo,3,0.528169014084507,coepio,3,0.4746835443037975,pavper,3,0.5263157894736842,noster,2,0.33003300330033003,vervs,2,0.38461538461538464,vnde/1,3,0.4518072289156626,lvmen,3,0.5076142131979695,lego/2,2,0.3105590062111801,antistes,2,0.38167938931297707,habeo,2,0.398406374501992,hostis,3,0.4878048780487805,svscipio,3,0.4243281471004243,traditio,3,0.5042016806722689,iste,3,0.4601226993865031,pono,3,0.4166666666666667
consentio,3,0.47244094488188976,finis,3,0.47318611987381703,pax,3,0.5692599620493358,disco,2,0.36036036036036034,nvmqvam,3,0.4975124378109453,qvisqvam,3,0.528169014084507,talis,3,0.4746835443037975,ocvlvs,3,0.5263157894736842,devs,2,0.33003300330033003,institvo,2,0.38461538461538464,advenio,3,0.4518072289156626,tvvs,2,0.338409475465313,disco,2,0.3105590062111801,ago,2,0.38167938931297707,nomen,2,0.398406374501992,lavs,3,0.4878048780487805,virgo,3,0.4243281471004243,nonnvllvs,3,0.5042016806722689,cvnctvs,3,0.4601226993865031,mevs,3,0.4166666666666667
res,3,0.47244094488188976,do,3,0.47318611987381703,aio,3,0.5692599620493358,revereor,2,0.36036036036036034,verbvm,2,0.33167495854063017,molestia,3,0.528169014084507,dominvs,3,0.4746835443037975,idvs,3,0.5263157894736842,regio,2,0.33003300330033003,praesvm/1,2,0.38461538461538464,peto,3,0.4518072289156626,qvoqve,2,0.338409475465313,doceo,2,0.3105590062111801,obsecro,2,0.38167938931297707,civitas,2,0.398406374501992,barbarvs/2,3,0.4878048780487805,oswald/n1,3,0.4243281471004243,percipio,3,0.5042016806722689,debeo,3,0.4601226993865031,terra,3,0.4166666666666667
mitto,3,0.47244094488188976,volo/3,3,0.47318611987381703,manvs/1,3,0.5692599620493358,memoria,2,0.36036036036036034,noster,2,0.33167495854063017,iter,3,0.528169014084507,mitto,3,0.4746835443037975,sacer,3,0.5263157894736842,postea,2,0.33003300330033003,reverto,2,0.38461538461538464,inqvio,3,0.4518072289156626,salvs,2,0.338409475465313,video,2,0.3105590062111801,corpvs,2,0.38167938931297707,voco,2,0.398406374501992,hvmilis,3,0.4878048780487805,devs,2,0.2828854314002829,nordanhymbri/n,3,0.5042016806722689,dvco,3,0.4601226993865031,ivxta/1,3,0.4166666666666667
maneo,3,0.47244094488188976,hodie,3,0.47318611987381703,excito/1,3,0.5692599620493358,alivs,2,0.36036036036036034,bonvs,2,0.33167495854063017,lego/2,2,0.35211267605633806,regivs,3,0.4746835443037975,narro,3,0.5263157894736842,infirmitas,2,0.33003300330033003,affero,2,0.38461538461538464,servo,3,0.4518072289156626,pars,2,0.338409475465313,ibi,2,0.3105590062111801,locvs,2,0.38167938931297707,terra,2,0.398406374501992,teneo,3,0.4878048780487805,qvoqve,2,0.2828854314002829,deniqve,3,0.5042016806722689,homo,3,0.4601226993865031,vter/4,3,0.4166666666666667
dominicvs,3,0.47244094488188976,qvin/1,3,0.47318611987381703,compositvm,3,0.5692599620493358,invenio,2,0.36036036036036034,dignvs,2,0.33167495854063017,stvdivm,2,0.35211267605633806,ivvo,3,0.4746835443037975,dormio,3,0.5263157894736842,singvlvs,2,0.33003300330033003,perfero,2,0.38461538461538464,virtvs,3,0.4518072289156626,opvs/1,2,0.338409475465313,reverto,2,0.3105590062111801,nomen,2,0.38167938931297707,fons,2,0.398406374501992,sedeo,3,0.4878048780487805,cantvari/n,2,0.2828854314002829,avstralis,3,0.5042016806722689,actvs/3,3,0.4601226993865031,contra/2,3,0.4166666666666667
saecvlvm,3,0.47244094488188976,totvs,3,0.47318611987381703,dignvs,2,0.3795066413662239,praesens,2,0.36036036036036034,divinvs/2,2,0.33167495854063017,nosco,2,0.35211267605633806,qvantvs/1,3,0.4746835443037975,pergo,3,0.5263157894736842,mvltvs,2,0.33003300330033003,pars,2,0.38461538461538464,prohibeo,3,0.4518072289156626,lindisfarnensis/a,2,0.338409475465313,vita,2,0.3105590062111801,qvidam,2,0.38167938931297707,pvlcher,2,0.398406374501992,angli/n,2,0.3252032520325203,video,2,0.2828854314002829,ministerivm,3,0.5042016806722689,ordino,3,0.4601226993865031,lingva,3,0.4166666666666667
nihil,3,0.47244094488188976,vocabvlvm,3,0.47318611987381703,qvoqve,2,0.3795066413662239,episcopvs,2,0.36036036036036034,cvro,2,0.33167495854063017,simvl/1,2,0.35211267605633806,rogo,3,0.4746835443037975,incorrvptvs,3,0.5263157894736842,soleo,2,0.33003300330033003,condo,2,0.38461538461538464,cvnctvs,3,0.4518072289156626,habeo,2,0.338409475465313,lindisfarnensis/a,2,0.3105590062111801,tergvm,2,0.38167938931297707,valeo,2,0.398406374501992,nvper,2,0.3252032520325203,pater,2,0.2828854314002829,antistes,3,0.5042016806722689,anima,3,0.4601226993865031,contingo/1,3,0.4166666666666667
neqvaqvam,3,0.47244094488188976,transeo/1,3,0.47318611987381703,doceo,2,0.3795066413662239,qvalis/1,2,0.36036036036036034,ecclesia,2,0.33167495854063017,abba,2,0.35211267605633806,mater,3,0.4746835443037975,nvnc,2,0.3508771929824561,adhvc,2,0.33003300330033003,lindisfarnensis/a,2,0.38461538461538464,animvs,3,0.4518072289156626,mevs,2,0.338409475465313,siqvis,2,0.3105590062111801,hora,2,0.38167938931297707,aqva,2,0.398406374501992,probo,2,0.3252032520325203,affero,2,0.2828854314002829,reperio,3,0.5042016806722689,alter,3,0.4601226993865031,do,3,0.4166666666666667
filia,3,0.47244094488188976,desidero,2,0.31545741324921134,colligo/3,2,0.3795066413662239,habeo,2,0.36036036036036034,pervenio,2,0.33167495854063017,venerabilis,2,0.35211267605633806,pietas,3,0.4746835443037975,religiosvs,2,0.3508771929824561,confiteor,2,0.33003300330033003,pono,2,0.38461538461538464,opera,3,0.4518072289156626,praeclarvs,2,0.338409475465313,infirmitas,2,0.3105590062111801,ingredior,2,0.38167938931297707,recipio,2,0.398406374501992,cvro,2,0.3252032520325203,itaqve,2,0.2828854314002829,simplex,3,0.5042016806722689,timor,3,0.4601226993865031,servo,3,0.4166666666666667
incedo/1,3,0.47244094488188976,nvnc,2,0.31545741324921134,monasterivm,2,0.3795066413662239,pono,2,0.36036036036036034,scio,2,0.33167495854063017,romanvs/a,2,0.35211267605633806,hostis,3,0.4746835443037975,devs,2,0.3508771929824561,fero,2,0.33003300330033003,nomen,2,0.38461538461538464,benedictio,3,0.4518072289156626,permaneo,2,0.338409475465313,svvs,2,0.3105590062111801,servo,2,0.38167938931297707,advenio,2,0.398406374501992,abba,2,0.3252032520325203,percipio,2,0.2828854314002829,svpernvs,3,0.5042016806722689,disciplina,3,0.4601226993865031,gavdivm,3,0.4166666666666667
vervs,2,0.31496062992125984,maxime,2,0.31545741324921134,fidelis/2,2,0.3795066413662239,britannia/n,2,0.36036036036036034,excipio,2,0.33167495854063017,invenio,2,0.35211267605633806,lavs,3,0.4746835443037975,venerabilis,2,0.3508771929824561,magnvs,2,0.33003300330033003,voco,2,0.38461538461538464,ivdicivm,3,0.4518072289156626,advenio,2,0.338409475465313,credo,2,0.3105590062111801,propter/2,2,0.38167938931297707,dies,2,0.398406374501992,permitto,2,0.3252032520325203,episcopvs,2,0.2828854314002829,mitto,3,0.5042016806722689,pavlatim,3,0.4601226993865031,christianvs/2,3,0.4166666666666667
cvra,2,0.31496062992125984,divinvs/2,2,0.31545741324921134,credo,2,0.3795066413662239,nomen,2,0.36036036036036034,adicio,2,0.33167495854063017,reverto,2,0.35211267605633806,angli/n,2,0.31645569620253167,regio,2,0.3508771929824561,do,2,0.33003300330033003,valeo,2,0.38461538461538464,teneo,3,0.4518072289156626,sicvt/1,2,0.338409475465313,voco,2,0.3105590062111801,vivo,2,0.38167938931297707,confiteor,2,0.398406374501992,percipio,2,0.3252032520325203,proximvs,2,0.2828854314002829,exemplvm,3,0.5042016806722689,finio,3,0.4601226993865031,qvasi/1,3,0.4166666666666667
scribo,2,0.31496062992125984,disco,2,0.31545741324921134,mvltvs,2,0.3795066413662239,praeclarvs,2,0.36036036036036034,voco,2,0.33167495854063017,frater,2,0.35211267605633806,plenvs,2,0.31645569620253167,discipvlvs,2,0.3508771929824561,vxor,2,0.33003300330033003,aqva,2,0.38461538461538464,perficio,3,0.4518072289156626,fero,2,0.338409475465313,qvidam,2,0.3105590062111801,tantvs,2,0.38167938931297707,facio,2,0.398406374501992,exinde,2,0.3252032520325203,natio/1,2,0.2828854314002829,nvper,2,0.33613445378151263,cvpio,3,0.4601226993865031,immo,3,0.4166666666666667
memoria,2,0.31496062992125984,fides/2,2,0.31545741324921134,qvidam,2,0.3795066413662239,ivxta/1,2,0.36036036036036034,qvidam,2,0.33167495854063017,lindissi/n,2,0.35211267605633806,salvs,2,0.31645569620253167,ibi,2,0.3508771929824561,eligo/3,2,0.33003300330033003,lvcidvs,2,0.38461538461538464,ivvenis/2,3,0.4518072289156626,contingo/1,2,0.338409475465313,permaneo,2,0.3105590062111801,mitto,2,0.38167938931297707,primvs,2,0.398406374501992,episcopvs,2,0.3252032520325203,mvltvs,2,0.2828854314002829,desidero,2,0.33613445378151263,rex,2,0.3067484662576687,offero,3,0.4166666666666667
venerabilis,2,0.31496062992125984,praesens,2,0.31545741324921134,qvia,2,0.3795066413662239,praeter/2,2,0.36036036036036034,adhvc,2,0.33167495854063017,corpvs,2,0.35211267605633806,occasio,2,0.31645569620253167,affero,2,0.3508771929824561,remaneo,2,0.33003300330033003,noctvrnvs,2,0.38461538461538464,eximivs,3,0.4518072289156626,ingredior,2,0.338409475465313,redeo/1,2,0.3105590062111801,aeternvs,2,0.38167938931297707,do,2,0.398406374501992,fidelis/2,2,0.3252032520325203,qvia,2,0.2828854314002829,meditor,2,0.33613445378151263,devs,2,0.3067484662576687,abbatissa,3,0.4166666666666667
institvo,2,0.31496062992125984,proximvs,2,0.31545741324921134,prope/2,2,0.3795066413662239,iaceo,2,0.36036036036036034,accipio,2,0.33167495854063017,civitas,2,0.35211267605633806,memoria,2,0.31645569620253167,memini,2,0.3508771929824561,propter/2,2,0.33003300330033003,sicvt/1,2,0.38461538461538464,gens,2,0.30120481927710846,sino,2,0.338409475465313,sicvt/1,2,0.3105590062111801,religio,2,0.38167938931297707,adeo/1,2,0.398406374501992,innvmervs,2,0.3252032520325203,vter/4,2,0.2828854314002829,solvs,2,0.33613445378151263,svbtraho,2,0.3067484662576687,historia,2,0.2777777777777778
video,2,0.31496062992125984,ministerivm,2,0.31545741324921134,scientia,2,0.3795066413662239,advenio,2,0.36036036036036034,fero,2,0.33167495854063017,vmqvam,2,0.35211267605633806,venerabilis,2,0.31645569620253167,longvs,2,0.3508771929824561,spativm,2,0.33003300330033003,nimirvm,2,0.38461538461538464,devs,2,0.30120481927710846,sto,2,0.338409475465313,contingo/1,2,0.3105590062111801,svpero,2,0.38167938931297707,qvin/1,2,0.398406374501992,britannia/n,2,0.3252032520325203,lingva,2,0.2828854314002829,sanctvs,2,0.33613445378151263,theodore/n1,2,0.3067484662576687,nvper,2,0.2777777777777778
ibi,2,0.31496062992125984,frater,2,0.31545741324921134,tantvs,2,0.3795066413662239,accipio,2,0.36036036036036034,peto,2,0.33167495854063017,soleo,2,0.35211267605633806,video,2,0.31645569620253167,vnde/1,2,0.3508771929824561,maneo,2,0.33003300330033003,dono,2,0.38461538461538464,cetervs,2,0.30120481927710846,tres,2,0.338409475465313,inqvio,2,0.3105590062111801,novvs,2,0.38167938931297707,totvs,2,0.398406374501992,longvs,2,0.3252032520325203,sedes,2,0.2828854314002829,bonvs,2,0.33613445378151263,ervdio,2,0.3067484662576687,lego/2,2,0.2777777777777778
invenio,2,0.31496062992125984,diversvs,2,0.31545741324921134,virtvs,2,0.3795066413662239,perhibeo,2,0.36036036036036034,dono,2,0.33167495854063017,secedo/1,2,0.35211267605633806,videlicet,2,0.31645569620253167,vmqvam,2,0.3508771929824561,ibidem,2,0.33003300330033003,respondeo,2,0.38461538461538464,video,2,0.30120481927710846,gavdivm,2,0.338409475465313,res,2,0.3105590062111801,relinqvo,2,0.38167938931297707,interpres,2,0.398406374501992,civitas,2,0.3252032520325203,ambo/2,2,0.2828854314002829,sollicitvs,2,0.33613445378151263,vsqve,2,0.3067484662576687,sedvlvs,2,0.2777777777777778
pars,2,0.31496062992125984,excipio,2,0.31545741324921134,crvx,2,0.3795066413662239,dono,2,0.36036036036036034,respondeo,2,0.33167495854063017,primvs,2,0.35211267605633806,romanvs/a,2,0.31645569620253167,ardor,2,0.3508771929824561,prohibeo,2,0.33003300330033003,tantvs,2,0.38461538461538464,reverto,2,0.30120481927710846,regnvm,2,0.338409475465313,servo,2,0.3105590062111801,avfero,2,0.38167938931297707,sine,2,0.398406374501992,ivxta/1,2,0.3252032520325203,hodie,2,0.2828854314002829,qvoqve,2,0.33613445378151263,percipio,2,0.3067484662576687,qvoqve,2,0.2777777777777778
redeo/1,2,0.31496062992125984,locvs,2,0.31545741324921134,servio,2,0.3795066413662239,aspicio,2,0.36036036036036034,talis,2,0.33167495854063017,coepio,2,0.35211267605633806,praesvm/1,2,0.31645569620253167,aetas,2,0.3508771929824561,deprecor,2,0.33003300330033003,relinqvo,2,0.38461538461538464,dico/2,2,0.30120481927710846,vocabvlvm,2,0.338409475465313,qvin/1,2,0.3105590062111801,iste,2,0.38167938931297707,ritvs,2,0.398406374501992,qvia,2,0.3252032520325203,servo,2,0.2828854314002829,salvs,2,0.33613445378151263,sancio,2,0.3067484662576687,disco,2,0.2777777777777778
secedo/1,2,0.31496062992125984,qvondam,2,0.31545741324921134,secvndvs/1,2,0.3795066413662239,nemo,2,0.36036036036036034,totvs,2,0.33167495854063017,sto,2,0.35211267605633806,affero,2,0.31645569620253167,primvs,2,0.3508771929824561,caelestis,2,0.33003300330033003,benignvs,2,0.38461538461538464,perfero,2,0.30120481927710846,oro,2,0.338409475465313,regnvm,2,0.3105590062111801,doctor,2,0.38167938931297707,domvs,2,0.398406374501992,vter/4,2,0.3252032520325203,potivs,2,0.2828854314002829,occasio,2,0.33613445378151263,ivxta/1,2,0.3067484662576687,omnis,2,0.2777777777777778
finis,2,0.31496062992125984,maximvs,2,0.31545741324921134,miracvlvm,2,0.3795066413662239,ferme,2,0.36036036036036034,mitto,2,0.33167495854063017,flvmen,2,0.35211267605633806,colligo/3,2,0.31645569620253167,accipio,2,0.3508771929824561,oro,2,0.33003300330033003,socio,2,0.38461538461538464,memini,2,0.30120481927710846,gradvs,2,0.338409475465313,ibidem,2,0.3105590062111801,confero,2,0.38167938931297707,crvx,2,0.398406374501992,adhvc,2,0.3252032520325203,tantvs,2,0.2828854314002829,abba,2,0.33613445378151263,qvia,2,0.3067484662576687,revereor,2,0.2777777777777778
dvx,2,0.31496062992125984,vnde/1,2,0.31545741324921134,saecvlaris,2,0.3795066413662239,praecipio,2,0.36036036036036034,vllvs,2,0.33167495854063017,mitto,2,0.35211267605633806,erga,2,0.31645569620253167,adeo/1,2,0.3508771929824561,differo,2,0.33003300330033003,miracvlvm,2,0.38461538461538464,sancio,2,0.30120481927710846,species,2,0.338409475465313,nolo,2,0.3105590062111801,transfero,2,0.38167938931297707,assensvs,2,0.398406374501992,sicvt/1,2,0.3252032520325203,dominvs,2,0.2828854314002829,exsisto,2,0.33613445378151263,vter/4,2,0.3067484662576687,ervdio,2,0.2777777777777778
hactenvs,2,0.31496062992125984,ivmentvm,2,0.31545741324921134,amor,2,0.3795066413662239,aeternvs,2,0.36036036036036034,domvs,2,0.33167495854063017,regnvm,2,0.35211267605633806,ago,2,0.31645569620253167,hodie,2,0.3508771929824561,pontificatvs,2,0.33003300330033003,debeo,2,0.38461538461538464,corpvs,2,0.30120481927710846,saecvlvm,2,0.338409475465313,vigilia,2,0.3105590062111801,mvto/2,2,0.38167938931297707,baptizo,2,0.398406374501992,nvmervs,2,0.3252032520325203,ibidem,2,0.2828854314002829,discipvlvs,2,0.33613445378151263,dies,2,0.3067484662576687,provincia,2,0.2777777777777778
percvtio,2,0.31496062992125984,flvvivs,2,0.31545741324921134,mirvs,2,0.3795066413662239,ministro,2,0.36036036036036034,honor,2,0.33167495854063017,antea,2,0.35211267605633806,nomen,2,0.31645569620253167,secerno,2,0.3508771929824561,gloria,2,0.33003300330033003,transfero,2,0.38461538461538464,nomen,2,0.30120481927710846,vrbs,2,0.338409475465313,ieivnivm,2,0.3105590062111801,perfectio,2,0.38167938931297707,oro,2,0.398406374501992,contingo/1,2,0.3252032520325203,comes,2,0.2828854314002829,video,2,0.33613445378151263,secedo/1,2,0.3067484662576687,discipvlvs,2,0.2777777777777778
donec,2,0.31496062992125984,mvltvm/2,2,0.31545741324921134,dolor,2,0.3795066413662239,donec,2,0.36036036036036034,regina,2,0.33167495854063017,peregrinvs/2,2,0.35211267605633806,nvllvs,2,0.31645569620253167,vocabvlvm,2,0.3508771929824561,saecvlvm,2,0.33003300330033003,potestas,2,0.38461538461538464,mvltvs,2,0.30120481927710846,discvtio,2,0.338409475465313,dvm/2,2,0.3105590062111801,labor/1,2,0.38167938931297707,dominicvs,2,0.398406374501992,do,2,0.3252032520325203,avfero,2,0.2828854314002829,vox,2,0.33613445378151263,lingva,2,0.3067484662576687,ibi,2,0.2777777777777778
