,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
dominvs,10,0.7168458781362007,interrogo,10,0.8517887563884157,littera,8,0.7292616226071102,regivs,8,0.6206361520558572,sanctvs,7,0.7641921397379913,ecclesia,7,0.5700325732899023,vsqve,9,0.7346938775510203,contingo/1,8,0.7111111111111111,div,12,0.8547008547008548,praedico/3,8,0.6606110652353426
praedico/3,10,0.7168458781362007,maneo,9,0.7666098807495741,alivs,8,0.7292616226071102,nihil,8,0.6206361520558572,affero,7,0.7641921397379913,terra,7,0.5700325732899023,ago,9,0.7346938775510203,intro/1,8,0.7111111111111111,inqvio,11,0.7834757834757835,novvs,8,0.6606110652353426
transeo/1,10,0.7168458781362007,spiritvs,9,0.7666098807495741,vsqve,8,0.7292616226071102,sacramentvm,8,0.6206361520558572,sancio,7,0.7641921397379913,nobilis/2,7,0.5700325732899023,vivo,9,0.7346938775510203,capvt,8,0.7111111111111111,constrvo,11,0.7834757834757835,doctrina,8,0.6606110652353426
amor,10,0.7168458781362007,statim,8,0.6814310051107325,opvs/1,8,0.7292616226071102,filivs,8,0.6206361520558572,nox,7,0.7641921397379913,debeo,7,0.5700325732899023,consvetvdo,9,0.7346938775510203,domvs,8,0.7111111111111111,nvnc,10,0.7122507122507122,nihil,8,0.6606110652353426
ministerivm,9,0.6451612903225806,cogitatio,8,0.6814310051107325,veritas,8,0.7292616226071102,svscipio,8,0.6206361520558572,qvoqve,6,0.6550218340611353,saecvlvm,7,0.5700325732899023,baptizo,9,0.7346938775510203,canto,8,0.7111111111111111,ibi,10,0.7122507122507122,cor,8,0.6606110652353426
mitto,9,0.6451612903225806,lego/2,7,0.596252129471891,habeo,8,0.7292616226071102,aio,8,0.6206361520558572,saepe,6,0.6550218340611353,lvx,7,0.5700325732899023,adhvc,8,0.653061224489796,avdio,7,0.6222222222222222,vivo,10,0.7122507122507122,primvs,7,0.5780346820809248
sepelio,9,0.6451612903225806,refero,7,0.596252129471891,mevs,8,0.7292616226071102,exercitvs/1,8,0.6206361520558572,voco,6,0.6550218340611353,virgo,7,0.5700325732899023,ergo/2,8,0.653061224489796,disco,7,0.6222222222222222,donec,10,0.7122507122507122,inqvio,7,0.5780346820809248
doceo,8,0.5734767025089605,abba,7,0.596252129471891,liber/1,8,0.7292616226071102,miles,8,0.6206361520558572,terra,6,0.6550218340611353,disciplina,7,0.5700325732899023,servo,8,0.653061224489796,affero,7,0.6222222222222222,videlicet,9,0.641025641025641,libero,7,0.5780346820809248
reverto,8,0.5734767025089605,doceo,7,0.596252129471891,totvs,8,0.7292616226071102,regno,8,0.6206361520558572,flvvivs,6,0.6550218340611353,congregatio,7,0.5700325732899023,regnvm,8,0.653061224489796,mvltvs,7,0.6222222222222222,dico/2,9,0.641025641025641,nvnc,6,0.495458298926507
vsqve,8,0.5734767025089605,vsqve,7,0.596252129471891,saecvlvm,8,0.7292616226071102,villa,8,0.6206361520558572,aqva,6,0.6550218340611353,sollicitvs,6,0.4885993485342019,vester,8,0.653061224489796,soleo,7,0.6222222222222222,qvantvs/1,9,0.641025641025641,divinvs/2,6,0.495458298926507
oratio,8,0.5734767025089605,iste,7,0.596252129471891,lego/2,7,0.6381039197812215,oswald/n1,8,0.6206361520558572,magnvs,6,0.6550218340611353,fidelis/2,6,0.4885993485342019,celebratio,8,0.653061224489796,redeo/1,7,0.6222222222222222,creber,9,0.641025641025641,disco,6,0.495458298926507
eo/1,8,0.5734767025089605,dvco,7,0.596252129471891,maxime,7,0.6381039197812215,sanctvs,7,0.5430566330488751,disco,5,0.5458515283842794,secedo/1,6,0.4885993485342019,pater,7,0.5714285714285714,peto,7,0.6222222222222222,anima,9,0.641025641025641,vox,6,0.495458298926507
monachvs,8,0.5734767025089605,reverto,6,0.5110732538330494,simvl/1,7,0.6381039197812215,dignvs,7,0.5430566330488751,venerabilis,5,0.5458515283842794,aspicio,6,0.4885993485342019,contra/2,7,0.5714285714285714,cvnctvs,7,0.6222222222222222,coepio,8,0.5698005698005698,alivs,6,0.495458298926507
iter,8,0.5734767025089605,animvs,6,0.5110732538330494,invenio,7,0.6381039197812215,voco,7,0.5430566330488751,svvs,5,0.5458515283842794,res,6,0.4885993485342019,inqvio,7,0.5714285714285714,saecvlvm,7,0.6222222222222222,morior,8,0.5698005698005698,qvondam,6,0.495458298926507
disco,7,0.5017921146953405,propono,6,0.5110732538330494,ago,7,0.6381039197812215,facio,7,0.5430566330488751,nomen,5,0.5458515283842794,servo,6,0.4885993485342019,profero,7,0.5714285714285714,religiosvs,6,0.5333333333333333,annvs,8,0.5698005698005698,apostolicvs,6,0.495458298926507
institvo,7,0.5017921146953405,seqvor,6,0.5110732538330494,vrbs,7,0.6381039197812215,dvx,7,0.5430566330488751,maximvs,5,0.5458515283842794,vivo,6,0.4885993485342019,svscipio,7,0.5714285714285714,venio,6,0.5333333333333333,desidero,7,0.49857549857549854,praedico/2,6,0.495458298926507
percipio,7,0.5017921146953405,devenio,6,0.5110732538330494,tvvs,6,0.5469462169553327,religio,7,0.5430566330488751,genvs/1,5,0.5458515283842794,ieivnivm,6,0.4885993485342019,sabbatvm,7,0.5714285714285714,erga,6,0.5333333333333333,libellvs,7,0.49857549857549854,primo,6,0.495458298926507
