,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
ago,10,0.6578947368421052,vsqve,6,0.17426662794074935,dvm/2,7,0.2763521515988946,disciplina,9,0.34749034749034746,ivbeo,9,0.6164383561643836,nihil,7,0.22988505747126436,videlicet,8,0.2849002849002849,qvia,8,0.7149240393208222,facio,8,0.28530670470756064,virtvs,8,0.6644518272425249
accipio,10,0.6578947368421052,pars,6,0.17426662794074935,semper,7,0.2763521515988946,reverto,8,0.3088803088803089,parvvs/2,9,0.6164383561643836,qvoqve,6,0.19704433497536944,intro/1,8,0.2849002849002849,nox,8,0.7149240393208222,ergo/2,8,0.28530670470756064,pavper,8,0.6644518272425249
sanctvs,9,0.5921052631578948,aetas,6,0.17426662794074935,rogo,7,0.2763521515988946,propter/2,8,0.3088803088803089,hostis,9,0.6164383561643836,traditio,6,0.19704433497536944,cvmqve,8,0.2849002849002849,contra/2,8,0.7149240393208222,cvmqve,8,0.28530670470756064,cvro,7,0.5813953488372093
vita,9,0.5921052631578948,adhvc,6,0.17426662794074935,canto,7,0.2763521515988946,vocabvlvm,8,0.3088803088803089,aio,9,0.6164383561643836,contra/2,6,0.19704433497536944,nolo,8,0.2849002849002849,totvs,8,0.7149240393208222,virtvs,8,0.28530670470756064,omnis,7,0.5813953488372093
alivs,8,0.5263157894736842,adeo/1,6,0.17426662794074935,manvs/1,7,0.2763521515988946,virtvs,8,0.3088803088803089,pontifex,8,0.547945205479452,lingva,6,0.19704433497536944,saecvlvm,8,0.2849002849002849,nomen,7,0.6255585344057194,exeo/1,8,0.28530670470756064,romanvs/a,7,0.5813953488372093
opvs/1,8,0.5263157894736842,imperivm,6,0.17426662794074935,affero,6,0.23687327279905251,annvs,8,0.3088803088803089,svvs,8,0.547945205479452,vivo,6,0.19704433497536944,verbvm,7,0.24928774928774927,longvs,7,0.6255585344057194,tempvs/1,7,0.24964336661911554,antistes,7,0.5813953488372093
voco,8,0.5263157894736842,ivbeo,6,0.17426662794074935,frater,6,0.23687327279905251,dominicvs,8,0.3088803088803089,credo,8,0.547945205479452,dominicvs,6,0.19704433497536944,vita,7,0.24928774928774927,terra,7,0.6255585344057194,qvoqve,7,0.24964336661911554,mevs,7,0.5813953488372093
fero,8,0.5263157894736842,relinqvo,6,0.17426662794074935,contingo/1,6,0.23687327279905251,svpra/2,8,0.3088803088803089,nomen,8,0.547945205479452,celebratio,6,0.19704433497536944,aspicio,7,0.24928774928774927,septentrionalis,7,0.6255585344057194,cvro,7,0.24964336661911554,ivxta/1,7,0.5813953488372093
do,8,0.5263157894736842,saecvlvm,6,0.17426662794074935,peto,6,0.23687327279905251,sepelio,8,0.3088803088803089,hora,8,0.547945205479452,aio,6,0.19704433497536944,anima,7,0.24928774928774927,facio,7,0.6255585344057194,venio,7,0.24964336661911554,qvia,7,0.5813953488372093
qvin/1,8,0.5263157894736842,ordino,6,0.17426662794074935,morior,6,0.23687327279905251,aliqvot,8,0.3088803088803089,dono,8,0.547945205479452,sabbatvm,6,0.19704433497536944,sollicitvs,6,0.2136752136752137,primvs,7,0.6255585344057194,invenio,7,0.24964336661911554,magnvs,7,0.5813953488372093
