,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
cvmqve,5,0.40783034257748774,percipio,5,0.41841004184100417,recipio,4,0.3527336860670194,miracvlvm,5,0.42122999157540014,kalendae,5,0.4251700680272109,oswald/n1,6,0.44411547002220575,vnde/1,5,0.43859649122807015,excipio,5,0.43327556325823224,coepio,5,0.41736227045075125,secedo/1,5,0.38372985418265537
ivbeo,5,0.40783034257748774,fidelis/2,5,0.41841004184100417,lingva,4,0.3527336860670194,transeo/1,5,0.42122999157540014,gavdeo,5,0.4251700680272109,praefor,5,0.3700962250185048,nobilis/2,5,0.43859649122807015,svvs,5,0.43327556325823224,vester,5,0.41736227045075125,facio,5,0.38372985418265537
religio,5,0.40783034257748774,ago,5,0.41841004184100417,accipio,4,0.3527336860670194,nihil,5,0.42122999157540014,postmodvm,5,0.4251700680272109,nordanhymbri/n,5,0.3700962250185048,advenio,5,0.43859649122807015,voco,5,0.43327556325823224,immo,5,0.41736227045075125,donec,5,0.38372985418265537
appropinqvo,5,0.40783034257748774,civitas,5,0.41841004184100417,ingredior,4,0.3527336860670194,seqvor,5,0.42122999157540014,disciplina,5,0.4251700680272109,nomen,5,0.3700962250185048,lingva,5,0.43859649122807015,terra,5,0.43327556325823224,ordino,5,0.41736227045075125,lectio,5,0.38372985418265537
qvasi/1,5,0.40783034257748774,voco,5,0.41841004184100417,aspicio,4,0.3527336860670194,teneo,5,0.42122999157540014,iter,5,0.4251700680272109,civitas,5,0.3700962250185048,ergo/2,5,0.43859649122807015,mitto,5,0.43327556325823224,cavsa,5,0.41736227045075125,div,5,0.38372985418265537
dominicvs,5,0.40783034257748774,ivxta/1,5,0.41841004184100417,sto,4,0.3527336860670194,nvper,4,0.33698399326032014,limen,5,0.4251700680272109,primvs,5,0.3700962250185048,vexillvm,5,0.43859649122807015,novvs,5,0.43327556325823224,qvomodo/1,5,0.41736227045075125,immensvs,5,0.38372985418265537
parvvs/2,5,0.40783034257748774,adhvc,5,0.41841004184100417,egredior,4,0.3527336860670194,lego/2,4,0.33698399326032014,presbyter,4,0.3401360544217687,potivs,5,0.3700962250185048,sors,5,0.43859649122807015,caelestis,5,0.43327556325823224,sepelio,5,0.41736227045075125,revereor,4,0.3069838833461243
ivvo,5,0.40783034257748774,servio,5,0.41841004184100417,vester,4,0.3527336860670194,vervs,4,0.33698399326032014,historia,4,0.3401360544217687,capvt,5,0.3700962250185048,solvs,4,0.3508771929824561,differo,5,0.43327556325823224,observo,5,0.41736227045075125,memoria,4,0.3069838833461243
rogo,5,0.40783034257748774,miracvlvm,5,0.41841004184100417,iste,4,0.3527336860670194,vmqvam,4,0.33698399326032014,verbvm,4,0.3401360544217687,apostolvs,5,0.3700962250185048,vir,4,0.3508771929824561,desidero,4,0.34662045060658575,sentio,5,0.41736227045075125,pervenio,4,0.3069838833461243
malvs/3,5,0.40783034257748774,homo,5,0.41841004184100417,cvnctvs,4,0.3527336860670194,adhvc,4,0.33698399326032014,rego,4,0.3401360544217687,idolvm,5,0.3700962250185048,scribo,4,0.3508771929824561,tvvs,4,0.34662045060658575,gens,4,0.333889816360601,credo,4,0.3069838833461243
hostis,5,0.40783034257748774,gravis,5,0.41841004184100417,parvvs/2,4,0.3527336860670194,fero,4,0.33698399326032014,videlicet,4,0.3401360544217687,via,5,0.3700962250185048,ibi,4,0.3508771929824561,scriptvra,4,0.34662045060658575,dignvs,4,0.333889816360601,ivxta/1,4,0.3069838833461243
neqvaqvam,5,0.40783034257748774,nvmqvam,5,0.41841004184100417,conversatio,4,0.3527336860670194,ingredior,4,0.33698399326032014,reverto,4,0.3401360544217687,teneo,5,0.3700962250185048,pater,4,0.3508771929824561,sedvlvs,4,0.34662045060658575,video,4,0.333889816360601,peto,4,0.3069838833461243
silentivm,5,0.40783034257748774,sacro,5,0.41841004184100417,rogo,4,0.3527336860670194,sedes,4,0.33698399326032014,memini,4,0.3401360544217687,filia,5,0.3700962250185048,maximvs,4,0.3508771929824561,refero,4,0.34662045060658575,roma/n,4,0.333889816360601,propter/2,4,0.3069838833461243
sedeo,5,0.40783034257748774,historia,4,0.33472803347280333,clarvs,4,0.3527336860670194,hodie,4,0.33698399326032014,svpernvs,4,0.3401360544217687,cvro,4,0.2960769800148038,aer,4,0.3508771929824561,avditor,4,0.34662045060658575,vita,4,0.333889816360601,percvtio,4,0.3069838833461243
regno,5,0.40783034257748774,simvl/1,4,0.33472803347280333,pavper,4,0.3527336860670194,domvs,4,0.33698399326032014,svvs,4,0.3401360544217687,papa,4,0.2960769800148038,noctvrnvs,4,0.3508771929824561,religiosvs,4,0.34662045060658575,frater,4,0.333889816360601,mitto,4,0.3069838833461243
statim,5,0.40783034257748774,affero,4,0.33472803347280333,hostis,4,0.3527336860670194,virtvs,4,0.33698399326032014,nomen,4,0.3401360544217687,pontifex,4,0.2960769800148038,longe,4,0.3508771929824561,memoro,4,0.34662045060658575,vter/4,4,0.333889816360601,ibidem,4,0.3069838833461243
vicissim,5,0.40783034257748774,dico/2,4,0.33472803347280333,alter,4,0.3527336860670194,nolo,4,0.33698399326032014,accipio,4,0.3401360544217687,voco,4,0.2960769800148038,nvmervs,4,0.3508771929824561,salvs,4,0.34662045060658575,fero,4,0.333889816360601,cvnctvs,4,0.3069838833461243
fidelis/2,4,0.3262642740619902,ergo/2,4,0.33472803347280333,div,4,0.3527336860670194,mos,4,0.33698399326032014,dono,4,0.3401360544217687,advenio,4,0.2960769800148038,fero,4,0.3508771929824561,exsisto,4,0.34662045060658575,contingo/1,4,0.333889816360601,dvm/2,4,0.3069838833461243
veritas,4,0.3262642740619902,adeo/1,4,0.33472803347280333,clamo,4,0.3527336860670194,dvm/2,4,0.33698399326032014,familia,4,0.3401360544217687,britanni/n,4,0.2960769800148038,contingo/1,4,0.3508771929824561,diligens,4,0.34662045060658575,ergo/2,4,0.333889816360601,oro,4,0.3069838833461243
voco,4,0.3262642740619902,vivo,4,0.33472803347280333,cogitatio,4,0.3527336860670194,sermo,4,0.33698399326032014,ritvs,4,0.3401360544217687,qvamvis/1,4,0.2960769800148038,perhibeo,4,0.3508771929824561,discipvlvs,4,0.34662045060658575,consto,4,0.333889816360601,saecvlvm,4,0.3069838833461243
soleo,4,0.3262642740619902,assvm/1,4,0.33472803347280333,circvmdo,4,0.3527336860670194,devotio,4,0.33698399326032014,semper,4,0.3401360544217687,coepio,4,0.2960769800148038,finis,4,0.3508771929824561,vox,4,0.34662045060658575,ivbeo,4,0.333889816360601,creber,4,0.3069838833461243
advenio,4,0.3262642740619902,avfero,4,0.33472803347280333,devenio,4,0.3527336860670194,praemivm,4,0.33698399326032014,filivs,4,0.3401360544217687,servo,4,0.2960769800148038,hactenvs,4,0.3508771929824561,nonnvllvs,4,0.34662045060658575,servio,4,0.333889816360601,opera,4,0.3069838833461243
redeo/1,4,0.3262642740619902,oro,4,0.33472803347280333,noster,3,0.26455026455026454,amo,4,0.33698399326032014,constrvo,4,0.3401360544217687,dvx,4,0.2960769800148038,religio,4,0.3508771929824561,vsqve,4,0.34662045060658575,defvngor,4,0.333889816360601,pecvnia,4,0.3069838833461243
coepio,4,0.3262642740619902,dignitas,4,0.33472803347280333,religiosvs,3,0.26455026455026454,propono,4,0.33698399326032014,mater,4,0.3401360544217687,imperivm,4,0.2960769800148038,vocabvlvm,4,0.3508771929824561,episcopvs,4,0.34662045060658575,profero,4,0.333889816360601,libero,4,0.3069838833461243
vivo,4,0.3262642740619902,caro/1,4,0.33472803347280333,cognosco,3,0.26455026455026454,svscipio,4,0.33698399326032014,svscipio,4,0.3401360544217687,religio,4,0.2960769800148038,pascha,4,0.3508771929824561,insvla,4,0.34662045060658575,siqvidem,4,0.333889816360601,ivdicivm,4,0.3069838833461243
ibidem,4,0.3262642740619902,intelligo,4,0.33472803347280333,salvs,3,0.26455026455026454,exeo/1,4,0.33698399326032014,pergo,4,0.3401360544217687,ibidem,4,0.2960769800148038,gloriosvs,3,0.2631578947368421,pervenio,4,0.34662045060658575,svpra/2,4,0.333889816360601,rapio,4,0.3069838833461243
animvs,4,0.3262642740619902,intvs/2,4,0.33472803347280333,memoria,3,0.26455026455026454,eqvito,4,0.33698399326032014,faveo,4,0.3401360544217687,sperno,4,0.2960769800148038,nvnc,3,0.2631578947368421,libellvs,4,0.34662045060658575,cor,4,0.333889816360601,disciplina,4,0.3069838833461243
sermo,4,0.3262642740619902,filivs,4,0.33472803347280333,reverto,3,0.26455026455026454,qvisqvam,4,0.33698399326032014,exigo,4,0.3401360544217687,honor,4,0.2960769800148038,plenvs,3,0.2631578947368421,reperio,4,0.34662045060658575,offero,4,0.333889816360601,cvpio,4,0.3069838833461243
cavsa,4,0.3262642740619902,anima,4,0.33472803347280333,pars,3,0.26455026455026454,vbicvmqve/2,4,0.33698399326032014,lego/2,3,0.25510204081632654,praedico/2,4,0.2960769800148038,sanctvs,3,0.2631578947368421,mevs,4,0.34662045060658575,praebeo,4,0.333889816360601,nosco,3,0.23023791250959325
pecvnia,4,0.3262642740619902,membrvm,4,0.33472803347280333,memini,3,0.26455026455026454,incvmbo,4,0.33698399326032014,nvnc,3,0.25510204081632654,convenio,4,0.2960769800148038,verbvm,3,0.2631578947368421,mens,4,0.34662045060658575,avdio,3,0.25041736227045075,refero,3,0.23023791250959325
