,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
ivxta/1,8,0.60790273556231,facio,7,0.5135730007336757,vivo,6,0.5415162454873645,antistes,7,0.5785123966942148,miles,7,0.5747126436781609,flvvivs,7,0.618921308576481,nvnc,5,0.47573739295908657,abbatissa,7,0.5586592178770949,mos,7,0.5902192242833052,talis,7,0.5700325732899023
inqvio,8,0.60790273556231,dono,7,0.5135730007336757,relinqvo,6,0.5415162454873645,credo,7,0.5785123966942148,oswald/n1,7,0.5747126436781609,nvllvs,7,0.618921308576481,sanctvs,5,0.47573739295908657,sollicitvs,6,0.4788507581803671,observatio,7,0.5902192242833052,mitto,7,0.5700325732899023
miracvlvm,8,0.60790273556231,res,7,0.5135730007336757,frater,5,0.45126353790613716,nomen,7,0.5785123966942148,sanctvs,6,0.49261083743842365,septentrionalis,7,0.618921308576481,cvra,5,0.47573739295908657,venerabilis,6,0.4788507581803671,gens,6,0.5059021922428331,debeo,7,0.5700325732899023
annvs,8,0.60790273556231,familia,7,0.5135730007336757,habeo,5,0.45126353790613716,nvllvs,7,0.5785123966942148,cvro,6,0.49261083743842365,nox,7,0.618921308576481,simvl/1,5,0.47573739295908657,vnde/1,6,0.4788507581803671,cvro,6,0.5059021922428331,hostis,7,0.5700325732899023
dvco,8,0.60790273556231,praedico/3,7,0.5135730007336757,ingredior,5,0.45126353790613716,maneo,7,0.5785123966942148,cantvari/n,6,0.49261083743842365,solvs,6,0.5305039787798408,rego,5,0.47573739295908657,aqva,6,0.4788507581803671,monasterivm,6,0.5059021922428331,offero,7,0.5700325732899023
interrogo,8,0.60790273556231,postqvam,7,0.5135730007336757,servo,5,0.45126353790613716,loqvor,7,0.5785123966942148,alivs,6,0.49261083743842365,saepe,6,0.5305039787798408,salvs,5,0.47573739295908657,peto,6,0.4788507581803671,ago,6,0.5059021922428331,sedeo,7,0.5700325732899023
peto,7,0.5319148936170213,constrvo,7,0.5135730007336757,domvs,5,0.45126353790613716,virgo,7,0.5785123966942148,romanvs/a,6,0.49261083743842365,adhvc,6,0.5305039787798408,scribo,5,0.47573739295908657,regnvm,6,0.4788507581803671,qvaestio,6,0.5059021922428331,salvs,6,0.4885993485342019
ivbeo,7,0.5319148936170213,sepelio,7,0.5135730007336757,appropinqvo,5,0.45126353790613716,nvnc,6,0.49586776859504134,vsqve,6,0.49261083743842365,sicvt/1,6,0.5305039787798408,cetervs,5,0.47573739295908657,donec,6,0.4788507581803671,adhvc,6,0.5059021922428331,praefor,6,0.4885993485342019
ocvlvs,7,0.5319148936170213,minister/1,7,0.5135730007336757,cvnctvs,5,0.45126353790613716,habeo,6,0.49586776859504134,accipio,6,0.49261083743842365,facio,6,0.5305039787798408,cvro,5,0.47573739295908657,vocabvlvm,6,0.4788507581803671,virtvs,6,0.5059021922428331,qvidam,6,0.4885993485342019
devoveo,7,0.5319148936170213,eo/1,7,0.5135730007336757,oro,5,0.45126353790613716,dvco,6,0.49586776859504134,magnvs,6,0.49261083743842365,fero,6,0.5305039787798408,regio,5,0.47573739295908657,dvm/2,6,0.4788507581803671,doctrina,6,0.5059021922428331,servo,6,0.4885993485342019
