,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,Topic11,,,Topic12,,,Topic13,,,Topic14,,,Topic15,,,Topic16,,,Topic17,,,Topic18,,,Topic19,,,Topic20,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
verbvm,5,0.9124087591240875,svscipio,6,1.0256410256410255,sicvt/1,5,0.8620689655172413,accipio,5,0.9345794392523363,littera,6,1.1173184357541899,svscipio,7,0.9589041095890412,dico/2,6,0.9433962264150944,vsqve,5,0.8561643835616438,magnvs,6,1.0507880910683012,dominvs,5,0.8576329331046313,saecvlvm,6,0.9478672985781991,vnde/1,6,0.9508716323296356,desidero,5,0.8210180623973727,dono,6,1.0033444816053512,nvper,6,0.8968609865470852,cvro,5,0.8445945945945946,statim,6,1.0204081632653061,christianvs/2,5,0.8771929824561403,ivxta/1,6,1.0135135135135136,habeo,6,0.8658008658008658
contra/2,5,0.9124087591240875,edwin/n2,6,1.0256410256410255,magnvs,5,0.8620689655172413,inqvio,5,0.9345794392523363,angli/n,5,0.931098696461825,sabbatvm,7,0.9589041095890412,mare,6,0.9433962264150944,frater,5,0.8561643835616438,servio,5,0.8756567425569177,praedico/2,5,0.8576329331046313,manvs/1,6,0.9478672985781991,ivxta/1,6,0.9508716323296356,videlicet,5,0.8210180623973727,cvnctvs,6,1.0033444816053512,corpvs,6,0.8968609865470852,video,5,0.8445945945945946,nvnc,5,0.8503401360544218,morior,5,0.8771929824561403,advenio,5,0.8445945945945946,svvs,6,0.8658008658008658
spiritvs,5,0.9124087591240875,video,5,0.8547008547008548,totvs,5,0.8620689655172413,dominvs,5,0.9345794392523363,prior,5,0.931098696461825,christvs/n,6,0.821917808219178,terra,6,0.9433962264150944,valeo,5,0.8561643835616438,ordino,5,0.8756567425569177,sermo,5,0.8576329331046313,sollicitvs,5,0.7898894154818324,presbyter,5,0.7923930269413629,venio,5,0.8210180623973727,revereor,5,0.8361204013377926,nobilis/2,6,0.8968609865470852,vita,5,0.8445945945945946,ibi,5,0.8503401360544218,pavper,5,0.8771929824561403,crvx,5,0.8445945945945946,dominvs,6,0.8658008658008658
svscipio,5,0.9124087591240875,respondeo,5,0.8547008547008548,dominvs,5,0.8620689655172413,mater,5,0.9345794392523363,tvvs,5,0.931098696461825,ergo/2,6,0.821917808219178,nvllvs,6,0.9433962264150944,dvco,5,0.8561643835616438,sacramentvm,5,0.8756567425569177,cavsa,5,0.8576329331046313,ibi,5,0.7898894154818324,avdio,5,0.7923930269413629,tantvs,5,0.8210180623973727,roma/n,5,0.8361204013377926,dies,6,0.8968609865470852,qvidam,5,0.8445945945945946,opvs/1,5,0.8503401360544218,sepvlcrvm,5,0.8771929824561403,debeo,5,0.8445945945945946,nihil,6,0.8658008658008658
christvs/n,4,0.7299270072992701,qvin/1,5,0.8547008547008548,converto,5,0.8620689655172413,limen,5,0.9345794392523363,refero,5,0.931098696461825,servo,6,0.821917808219178,sanctvs,5,0.7861635220125787,ostendo,5,0.8561643835616438,svscipio,5,0.8756567425569177,vir,4,0.6861063464837049,cavsa,5,0.7898894154818324,memini,5,0.7923930269413629,dvco,5,0.8210180623973727,recipio,5,0.8361204013377926,devotio,6,0.8968609865470852,lingva,5,0.8445945945945946,inqvio,5,0.8503401360544218,devs,4,0.7017543859649122,offero,5,0.8445945945945946,villa,6,0.8658008658008658
prior,4,0.7299270072992701,tantvs,5,0.8547008547008548,apostolvs,5,0.8620689655172413,dico/2,4,0.7476635514018692,religiosvs,5,0.931098696461825,vivo,6,0.821917808219178,locvs,5,0.7861635220125787,prosvm/1,5,0.8561643835616438,avdio,4,0.7005253940455342,ecclesia,4,0.6861063464837049,avdio,4,0.631911532385466,adhvc,5,0.7923930269413629,transeo/1,5,0.8210180623973727,imperivm,5,0.8361204013377926,religiosvs,5,0.7473841554559043,aeternvs,5,0.8445945945945946,mors,5,0.8503401360544218,disco,4,0.7017543859649122,doceo,4,0.6756756756756757,qvoqve,5,0.7215007215007215
lego/2,4,0.7299270072992701,seqvor,5,0.8547008547008548,gloria,5,0.8620689655172413,terra,4,0.7476635514018692,dignvs,5,0.931098696461825,nihil,6,0.821917808219178,nomen,5,0.7861635220125787,iter,5,0.8561643835616438,advenio,4,0.7005253940455342,traditio,4,0.6861063464837049,cvro,4,0.631911532385466,inqvio,5,0.7923930269413629,femina,5,0.8210180623973727,semper,5,0.8361204013377926,qvoqve,5,0.7473841554559043,rogo,5,0.8445945945945946,vita,4,0.6802721088435374,pono,4,0.7017543859649122,monasterivm,4,0.6756756756756757,percipio,5,0.7215007215007215
opvs/1,4,0.7299270072992701,cetervs,4,0.6837606837606838,saecvlvm,5,0.8620689655172413,maneo,4,0.7476635514018692,videlicet,5,0.931098696461825,celebratio,6,0.821917808219178,longvs,5,0.7861635220125787,gens,4,0.684931506849315,intro/1,4,0.7005253940455342,soleo,4,0.6861063464837049,doceo,4,0.631911532385466,coepio,5,0.7923930269413629,religiosvs,4,0.6568144499178982,svscipio,5,0.8361204013377926,memoria,5,0.7473841554559043,ocvlvs,5,0.8445945945945946,ignis,4,0.6802721088435374,terra,4,0.7017543859649122,civitas,4,0.6756756756756757,ago,5,0.7215007215007215
vita,4,0.7299270072992701,pontifex,4,0.6837606837606838,exemplvm,5,0.8620689655172413,relinqvo,4,0.7476635514018692,pars,5,0.931098696461825,nosco,5,0.684931506849315,civitas,5,0.7861635220125787,nosco,4,0.684931506849315,dominvs,4,0.7005253940455342,sedes,4,0.6861063464837049,vsqve,4,0.631911532385466,sepelio,5,0.7923930269413629,ministerivm,4,0.6568144499178982,presbyter,4,0.6688963210702341,vita,5,0.7473841554559043,donvm,5,0.8445945945945946,nox,4,0.6802721088435374,soleo,4,0.7017543859649122,mare,4,0.6756756756756757,totvs,5,0.7215007215007215
infirmitas,4,0.7299270072992701,veritas,4,0.6837606837606838,teneo,5,0.8620689655172413,qvasi/1,4,0.7476635514018692,gens,4,0.74487895716946,dignvs,5,0.684931506849315,valeo,5,0.7861635220125787,cognosco,4,0.684931506849315,relinqvo,4,0.7005253940455342,regnvm,4,0.6861063464837049,soleo,4,0.631911532385466,desidero,4,0.6339144215530903,antistes,4,0.6568144499178982,cvro,4,0.6688963210702341,antistes,5,0.7473841554559043,historia,4,0.6756756756756757,intro/1,4,0.6802721088435374,magnvs,4,0.7017543859649122,soleo,4,0.6756756756756757,imperivm,5,0.7215007215007215
