,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
cantvari/n,5,0.4329004329004329,gens,5,0.3940110323089046,transfero,5,0.45998160073597055,nvllvs,5,0.48402710551790895,nox,5,0.40192926045016075,veritas,5,0.40290088638195,hodie,5,0.4003202562049639,congregatio,6,0.4480955937266617,tres,5,0.4048582995951417,venerabilis,5,0.4125412541254125
diligens,5,0.4329004329004329,cvro,5,0.3940110323089046,nihil,5,0.45998160073597055,recipio,5,0.48402710551790895,permaneo,5,0.40192926045016075,britanni/n,5,0.40290088638195,dvx,5,0.4003202562049639,nvper,5,0.37341299477221807,relinqvo,5,0.4048582995951417,frater,5,0.4125412541254125
regio,5,0.4329004329004329,theodore/n1,5,0.3940110323089046,rogo,5,0.45998160073597055,nox,5,0.48402710551790895,fero,5,0.40192926045016075,primvs,5,0.40290088638195,promitto,5,0.4003202562049639,qvoqve,5,0.37341299477221807,morior,5,0.4048582995951417,voco,5,0.4125412541254125
praesvm/1,5,0.4329004329004329,romanvs/a,5,0.3940110323089046,intvs/2,5,0.45998160073597055,contra/2,5,0.48402710551790895,do,5,0.40192926045016075,aspicio,5,0.40290088638195,cvnctvs,5,0.4003202562049639,cvro,5,0.37341299477221807,gradvs,5,0.4048582995951417,consto,5,0.4125412541254125
percipio,5,0.4329004329004329,reverto,5,0.3940110323089046,neqvaqvam,5,0.45998160073597055,lingva,5,0.48402710551790895,praedico/3,5,0.40192926045016075,qvin/1,5,0.40290088638195,caelestis,5,0.4003202562049639,pervenio,5,0.37341299477221807,clarvs,5,0.4048582995951417,servo,5,0.4125412541254125
deniqve,5,0.4329004329004329,vsqve,5,0.3940110323089046,similis,5,0.45998160073597055,christianvs/2,5,0.48402710551790895,peregrinvs/2,5,0.40192926045016075,aeternvs,5,0.40290088638195,primo,5,0.4003202562049639,frater,5,0.37341299477221807,ivdicivm,5,0.4048582995951417,consvetvdo,5,0.4125412541254125
mvltvs,5,0.4329004329004329,pars,5,0.3940110323089046,sanitas,5,0.45998160073597055,solvs,4,0.3872216844143272,caelestis,5,0.40192926045016075,crvx,5,0.40290088638195,apostolvs,5,0.4003202562049639,pono,5,0.37341299477221807,perdvco,5,0.4048582995951417,tantvs,5,0.4125412541254125
sedes,5,0.4329004329004329,ago,5,0.3940110323089046,locvlvs,5,0.45998160073597055,nomen,4,0.3872216844143272,saecvlvm,5,0.40192926045016075,parvvs/2,5,0.40290088638195,seqvor,5,0.4003202562049639,nvllvs,5,0.37341299477221807,teneo,5,0.4048582995951417,regnvm,5,0.4125412541254125
vivo,5,0.4329004329004329,svpernvs,5,0.3940110323089046,historia,4,0.36798528058877644,qvia,4,0.3872216844143272,ordino,5,0.40192926045016075,malvs/3,5,0.40290088638195,svvm,5,0.4003202562049639,sicvt/1,5,0.37341299477221807,ascendo,5,0.4048582995951417,christianvs/2,5,0.4125412541254125
tantvs,5,0.4329004329004329,nobilis/2,5,0.3940110323089046,videlicet,4,0.36798528058877644,adhvc,4,0.3872216844143272,cavsa,5,0.40192926045016075,pax,5,0.40290088638195,regno,5,0.4003202562049639,servo,5,0.37341299477221807,rex,4,0.32388663967611336,virtvs,5,0.4125412541254125
converto,5,0.4329004329004329,qvia,5,0.3940110323089046,venio,4,0.36798528058877644,redeo/1,4,0.3872216844143272,loqvor,5,0.40192926045016075,sedeo,5,0.40290088638195,permitto,4,0.32025620496397117,donec,5,0.37341299477221807,religiosvs,4,0.32388663967611336,nolo,5,0.4125412541254125
gloria,5,0.4329004329004329,primvs,5,0.3940110323089046,civitas,4,0.36798528058877644,hora,4,0.3872216844143272,ivdicivm,5,0.40192926045016075,appareo,5,0.40290088638195,nordanhymbri/n,4,0.32025620496397117,seqvor,5,0.37341299477221807,cognosco,4,0.32388663967611336,converto,5,0.4125412541254125
saecvlvm,5,0.4329004329004329,imperivm,5,0.3940110323089046,nvllvs,4,0.36798528058877644,contingo/1,4,0.3872216844143272,interrogo,5,0.40192926045016075,sacro,5,0.40290088638195,vita,4,0.32025620496397117,svpra/2,5,0.37341299477221807,vita,4,0.32388663967611336,annvs,5,0.4125412541254125
ecclesiasticvs,4,0.3463203463203463,ivbeo,5,0.3940110323089046,vmqvam,4,0.36798528058877644,do,4,0.3872216844143272,molestia,5,0.40192926045016075,rex,4,0.32232070910556004,nvllvs,4,0.32025620496397117,postvlo,5,0.37341299477221807,infirmitas,4,0.32388663967611336,nihil,5,0.4125412541254125
nosco,4,0.3463203463203463,ritvs,5,0.3940110323089046,fero,4,0.36798528058877644,res,4,0.3872216844143272,vbicvmqve/2,5,0.40192926045016075,sanctvs,4,0.32232070910556004,nobilis/2,4,0.32025620496397117,clamo,5,0.37341299477221807,locvs,4,0.32388663967611336,immo,5,0.4125412541254125
bonvs,4,0.3463203463203463,baptizo,5,0.3940110323089046,do,4,0.36798528058877644,remaneo,4,0.3872216844143272,iter,5,0.40192926045016075,cvra,4,0.32232070910556004,habito,4,0.32025620496397117,filia,5,0.37341299477221807,nox,4,0.32388663967611336,observo,5,0.4125412541254125
religiosvs,4,0.3463203463203463,postqvam,5,0.3940110323089046,qvin/1,4,0.36798528058877644,totvs,4,0.3872216844143272,presbyter,4,0.3215434083601286,simvl/1,4,0.32232070910556004,donec,4,0.32025620496397117,absolvo,5,0.37341299477221807,contra/2,4,0.32388663967611336,necesse,5,0.4125412541254125
simvl/1,4,0.3463203463203463,semper,5,0.3940110323089046,tantvs,4,0.36798528058877644,aeternvs,4,0.3872216844143272,lego/2,4,0.3215434083601286,divinvs/2,4,0.32232070910556004,christianvs/2,4,0.32025620496397117,rapio,5,0.37341299477221807,ingredior,4,0.32388663967611336,gens,4,0.33003300330033003
rego,4,0.3463203463203463,perficio,5,0.3940110323089046,capvt,4,0.36798528058877644,domvs,4,0.3872216844143272,refero,4,0.3215434083601286,vox,4,0.32232070910556004,secvndvs/1,4,0.32025620496397117,soror,5,0.37341299477221807,do,4,0.32388663967611336,scio,4,0.33003300330033003
divinvs/2,4,0.3463203463203463,appareo,5,0.3940110323089046,oratio,4,0.36798528058877644,oswald/n1,4,0.3872216844143272,theodore/n1,4,0.3215434083601286,videlicet,4,0.32232070910556004,honor,4,0.32025620496397117,nosco,4,0.2987303958177745,regnvm,4,0.32388663967611336,valeo,4,0.33003300330033003
cetervs,4,0.3463203463203463,disciplina,5,0.3940110323089046,oro,4,0.36798528058877644,desidero,3,0.29041626331074544,videlicet,4,0.3215434083601286,percipio,4,0.32232070910556004,dominicvs,4,0.32025620496397117,noster,4,0.2987303958177745,hvc,4,0.32388663967611336,vter/4,4,0.33003300330033003
praesens,4,0.3463203463203463,exigo,5,0.3940110323089046,doctor,4,0.36798528058877644,plenvs,3,0.29041626331074544,lindissi/n,4,0.3215434083601286,certvs,4,0.32232070910556004,idolvm,4,0.32025620496397117,salvs,4,0.2987303958177745,nolo,4,0.32388663967611336,adhvc,4,0.33003300330033003
insvla,4,0.3463203463203463,limen,5,0.3940110323089046,qvomodo/1,4,0.36798528058877644,vervs,3,0.29041626331074544,civitas,4,0.3215434083601286,nvllvs,4,0.32232070910556004,parvvs/2,4,0.32025620496397117,invenio,4,0.2987303958177745,appropinqvo,4,0.32388663967611336,incipio,4,0.33003300330033003
ministerivm,4,0.3463203463203463,tvvs,4,0.31520882584712373,ivdicivm,4,0.36798528058877644,affero,3,0.29041626331074544,accipio,4,0.3215434083601286,valeo,4,0.32232070910556004,pax,4,0.32025620496397117,habeo,4,0.2987303958177745,dvm/2,4,0.32388663967611336,ergo/2,4,0.33003300330033003
sacerdos,4,0.3463203463203463,devs,4,0.31520882584712373,sacer,4,0.36798528058877644,fides/2,3,0.29041626331074544,donec,4,0.3215434083601286,accipio,4,0.32232070910556004,postvlo,4,0.32025620496397117,corpvs,4,0.2987303958177745,debeo,4,0.32388663967611336,hvc,4,0.33003300330033003
libellvs,4,0.3463203463203463,dignvs,4,0.31520882584712373,div,4,0.36798528058877644,deniqve,3,0.29041626331074544,religio,4,0.3215434083601286,talis,4,0.32232070910556004,ecclesiasticvs,3,0.24019215372297836,britannia/n,4,0.2987303958177745,cogito,4,0.32388663967611336,vester,4,0.33003300330033003
simplex,4,0.3463203463203463,qvoqve,4,0.31520882584712373,dormio,4,0.36798528058877644,episcopvs,3,0.29041626331074544,baptizo,4,0.3215434083601286,dominvs,4,0.32232070910556004,sanctvs,3,0.24019215372297836,nomen,4,0.2987303958177745,actvs/3,4,0.32388663967611336,doctrina,4,0.33003300330033003
habeo,4,0.3463203463203463,simvl/1,4,0.31520882584712373,qviesco,4,0.36798528058877644,proximvs,3,0.29041626331074544,qvasi/1,4,0.3215434083601286,mitto,4,0.32232070910556004,verbvm,3,0.24019215372297836,nobilis/2,4,0.2987303958177745,lvx,4,0.32388663967611336,profero,4,0.33003300330033003
mens,4,0.3463203463203463,revereor,4,0.31520882584712373,vicissim,4,0.36798528058877644,monasterivm,3,0.29041626331074544,pvlvis,4,0.3215434083601286,obtempero,4,0.32232070910556004,dignvs,3,0.24019215372297836,fero,4,0.2987303958177745,creber,4,0.32388663967611336,parvvs/2,4,0.33003300330033003
qvia,4,0.3463203463203463,venerabilis,4,0.31520882584712373,qvaero,4,0.36798528058877644,antistes,3,0.29041626331074544,gravis,4,0.3215434083601286,assensvs,4,0.32232070910556004,salvs,3,0.24019215372297836,ibidem,4,0.2987303958177745,hostis,4,0.32388663967611336,qvomodo/1,4,0.33003300330033003
magnvs,4,0.3463203463203463,videlicet,4,0.31520882584712373,nvper,3,0.27598896044158233,certvs,3,0.29041626331074544,amor,4,0.3215434083601286,deprecor,4,0.32232070910556004,cvro,3,0.24019215372297836,animvs,4,0.2987303958177745,ecce,4,0.32388663967611336,loqvor,4,0.33003300330033003
