,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
saecvlvm,6,0.6795016987542469,iste,5,0.5081300813008129,accipio,6,0.5524861878453038,disco,5,0.5175983436853002,praesvm/1,5,0.5181347150259068,statim,6,0.6749156355455568,saecvlvm,6,0.6243496357960457,postqvam,6,0.6103763987792472,noster,5,0.5694760820045558,verbvm,5,0.499001996007984
perficio,6,0.6795016987542469,debeo,5,0.5081300813008129,cvmqve,6,0.5524861878453038,fidelis/2,5,0.5175983436853002,dico/2,5,0.5181347150259068,avdio,5,0.562429696287964,amor,6,0.6243496357960457,appareo,6,0.6103763987792472,institvo,5,0.5694760820045558,cvro,5,0.499001996007984
rex,5,0.5662514156285391,sermo,5,0.5081300813008129,nolo,6,0.5524861878453038,veritas,5,0.5175983436853002,episcopvs,5,0.5181347150259068,qvidam,5,0.562429696287964,neqvaqvam,6,0.6243496357960457,avdio,5,0.508646998982706,lapis,5,0.5694760820045558,revereor,5,0.499001996007984
nvper,5,0.5662514156285391,pavper,5,0.5081300813008129,servio,6,0.5524861878453038,mvltvs,5,0.5175983436853002,dies,5,0.5181347150259068,ingredior,5,0.562429696287964,canto,6,0.6243496357960457,verbvm,5,0.508646998982706,contra/2,5,0.5694760820045558,theodore/n1,5,0.499001996007984
nvnc,5,0.5662514156285391,ocvlvs,5,0.5081300813008129,cvnctvs,6,0.5524861878453038,accipio,5,0.5175983436853002,accipio,5,0.5181347150259068,intro/1,5,0.562429696287964,disco,5,0.5202913631633715,refero,5,0.508646998982706,contingo/1,5,0.5694760820045558,frater,5,0.499001996007984
qvoqve,5,0.5662514156285391,vestis,5,0.5081300813008129,defvngor,6,0.5524861878453038,ergo/2,5,0.5175983436853002,imperivm,5,0.5181347150259068,offero,5,0.562429696287964,venerabilis,5,0.5202913631633715,cvro,5,0.508646998982706,dono,5,0.5694760820045558,advenio,5,0.499001996007984
affero,5,0.5662514156285391,interrogo,5,0.5081300813008129,constrvo,6,0.5524861878453038,consto,5,0.5175983436853002,tantvs,5,0.5181347150259068,teneo,5,0.562429696287964,opvs/1,5,0.5202913631633715,invenio,5,0.508646998982706,totvs,5,0.5694760820045558,sicvt/1,5,0.499001996007984
pars,5,0.5662514156285391,ascendo,5,0.5081300813008129,sepelio,6,0.5524861878453038,ritvs,5,0.5175983436853002,baptizo,5,0.5181347150259068,appareo,5,0.562429696287964,pervenio,5,0.5202913631633715,percipio,5,0.508646998982706,mos,5,0.5694760820045558,familia,5,0.499001996007984
ministerivm,5,0.5662514156285391,pavlatim,5,0.5081300813008129,svscipio,6,0.5524861878453038,crvx,5,0.5175983436853002,homo,5,0.5181347150259068,qvoqve,4,0.44994375703037126,vita,5,0.5202913631633715,ministerivm,5,0.508646998982706,cvnctvs,5,0.5694760820045558,dvo,5,0.499001996007984
frater,5,0.5662514156285391,stvdivm,4,0.40650406504065045,desidero,5,0.46040515653775327,svpra/2,5,0.5175983436853002,seqvor,5,0.5181347150259068,opvs/1,4,0.44994375703037126,ago,5,0.5202913631633715,pervenio,5,0.508646998982706,rex,4,0.45558086560364464,svpervenio,5,0.499001996007984
